,match_id,date_planned_start,match_start,player_1,player_2,player_1_fh_goals,player_2_fh_goals,player_1_sh_goals,player_2_sh_goals,player_1_total_goals,player_2_total_goals,shift_n,match_count_within_shift,match_count_within_shift_player_pair,Total_goals,player_1_total_goals_est,player_2_total_goals_est,total_goals_est,result,result_est,outcomes_proba,over_4.5_goals_proba
7911,151821,1672595880,2023-01-01 17:58:03,8,14,0,1,1,1,1,2,871.0,46,16,3,1.8714962,1.6753572,3.5468535,2,1,42.98 - 22.02 - 35.0,28.343016606956912
7912,151822,1672596720,2023-01-01 18:12:05,8,19,0,0,2,0,2,0,871.0,47,16,2,1.6988894,1.8271385,3.526028,1,2,36.31 - 22.15 - 41.55,27.947840419446223
7913,151823,1672597560,2023-01-01 18:25:59,14,19,1,2,0,3,1,5,871.0,48,16,6,1.7958004,1.889944,3.6857443,2,2,37.3 - 21.63 - 41.07,31.002997942874156
7914,151824,1672599600,2023-01-01 18:59:56,4,22,2,2,1,2,3,4,872.0,1,1,7,1.4566857,1.9164768,3.3731625,2,2,29.4 - 22.16 - 48.44,25.08432847381325
7915,151825,1672600440,2023-01-01 19:14:03,4,29,1,0,1,1,2,1,872.0,2,1,3,1.7734498,2.2592118,4.0326614,1,2,30.68 - 20.1 - 49.21,37.75437667514988
7916,151826,1672601280,2023-01-01 19:28:01,22,29,2,2,0,2,2,4,872.0,3,1,6,2.2861092,1.8923882,4.1784973,2,1,47.45 - 19.91 - 32.64,40.599030345631306
7917,151827,1672602120,2023-01-01 19:41:57,4,22,0,2,0,2,0,4,872.0,4,2,4,2.0380576,2.978882,5.0169396,2,2,25.57 - 17.0 - 57.43,56.24740169904807
7918,151828,1672602960,2023-01-01 19:56:00,4,29,1,1,2,1,3,2,872.0,5,2,5,1.6721563,2.516795,4.1889515,1,2,25.03 - 18.75 - 56.22,40.802428585185346
7919,151829,1672603800,2023-01-01 20:10:02,22,29,1,2,3,2,4,4,872.0,6,2,8,1.7585697,2.747505,4.506075,0,2,23.64 - 17.65 - 58.71,46.9049051275902
7920,151830,1672604640,2023-01-01 20:24:03,4,22,1,1,0,2,1,3,872.0,7,3,4,1.7905349,2.9011698,4.6917048,2,2,22.34 - 16.91 - 60.74,50.38562461909133
7921,151831,1672605480,2023-01-01 20:38:01,4,29,0,1,1,1,1,2,872.0,8,3,3,1.7187297,2.6446657,4.3633957,2,2,24.22 - 18.12 - 57.65,44.178641610867444
7922,151832,1672606320,2023-01-01 20:52:00,22,29,0,2,4,1,4,3,872.0,9,3,7,1.8637918,2.4954169,4.3592086,1,2,28.94 - 19.0 - 52.06,44.09809617914845
7923,151833,1672607160,2023-01-01 21:06:02,4,22,0,0,0,1,0,1,872.0,10,4,1,1.7570746,2.746093,4.5031676,2,2,23.63 - 17.65 - 58.72,46.849755780249005
7924,151834,1672608000,2023-01-01 21:20:04,4,29,1,2,1,1,2,3,872.0,11,4,5,1.7317735,2.4817467,4.21352,2,2,26.63 - 18.99 - 54.38,41.28007552457829
7925,151835,1672608840,2023-01-01 21:34:02,22,29,0,1,0,0,0,1,872.0,12,4,1,2.0916972,2.2526484,4.3443456,2,2,37.13 - 19.77 - 43.1,43.811934085637425
7926,151836,1672609680,2023-01-01 21:48:02,4,22,0,1,0,2,0,3,872.0,13,5,3,1.6537532,2.6039767,4.25773,2,2,23.56 - 18.24 - 58.2,42.138021971630934
7927,151837,1672610520,2023-01-01 22:02:09,4,29,1,0,3,1,4,1,872.0,14,5,5,1.7696118,2.4195747,4.1891866,1,2,28.23 - 19.33 - 52.44,40.80700606578465
7928,151838,1672611360,2023-01-01 22:16:02,22,29,2,0,1,0,3,0,872.0,15,5,3,1.8281752,2.2660224,4.0941978,1,2,31.68 - 20.04 - 48.28,38.955943320901476
7929,151839,1672612200,2023-01-01 22:29:56,4,22,0,0,0,1,0,1,872.0,16,6,1,1.6386619,2.5968604,4.2355223,2,2,23.38 - 18.25 - 58.37,41.70731827452618
